Zip Code,Demographic,Percent,Year,BOROUGH
10019,White,72.1,2017,MANHATTAN
10019,Black,7.5,2017,MANHATTAN
10019,Asian,18.1,2017,MANHATTAN
10019,Hispanic,16.1,2017,MANHATTAN
10019,Male,51.3,2018,MANHATTAN
10019,Female,48.7,2018,MANHATTAN
10019,White,70.4,2018,MANHATTAN
10019,Black,7.2,2018,MANHATTAN
10019,Asian,19.1,2018,MANHATTAN
10019,Hispanic,16.8,2018,MANHATTAN
10019,Male,52.4,2019,MANHATTAN
10019,Female,47.6,2019,MANHATTAN
10019,White,69.3,2019,MANHATTAN
10019,Black,7.4,2019,MANHATTAN
10019,Asian,20.7,2019,MANHATTAN
10019,Hispanic,16.3,2019,MANHATTAN
10021,Male,44.4,2017,MANHATTAN
10021,Female,55.6,2017,MANHATTAN
10021,White,83.2,2017,MANHATTAN
10021,Black,2.1,2017,MANHATTAN
10021,Asian,12.3,2017,MANHATTAN
10021,Hispanic,7.8,2017,MANHATTAN
10021,Male,45.5,2018,MANHATTAN
10021,Female,54.5,2018,MANHATTAN
10021,White,84.3,2018,MANHATTAN
10021,Black,1.5,2018,MANHATTAN
10021,Asian,11.2,2018,MANHATTAN
10021,Hispanic,7.9,2018,MANHATTAN
10021,Male,46.3,2019,MANHATTAN
10021,Female,53.7,2019,MANHATTAN
10021,White,86.7,2019,MANHATTAN
10021,Black,1.2,2019,MANHATTAN
10021,Asian,10.2,2019,MANHATTAN
10021,Hispanic,6.9,2019,MANHATTAN
10022,Male,44.7,2017,MANHATTAN
10022,Female,55.3,2017,MANHATTAN
10022,White,86.0,2017,MANHATTAN
10022,Black,2.2,2017,MANHATTAN
10022,Asian,12.8,2017,MANHATTAN
10022,Hispanic,6.2,2017,MANHATTAN
10022,Male,45.3,2018,MANHATTAN
10022,Female,54.7,2018,MANHATTAN
10022,White,85.1,2018,MANHATTAN
10022,Black,2.4,2018,MANHATTAN
10022,Asian,13.9,2018,MANHATTAN
10022,Hispanic,5.4,2018,MANHATTAN
10022,Male,45.4,2019,MANHATTAN
10022,Female,54.6,2019,MANHATTAN
10022,White,85.1,2019,MANHATTAN
10022,Black,2.3,2019,MANHATTAN
10022,Asian,13.7,2019,MANHATTAN
10022,Hispanic,7.7,2019,MANHATTAN
10023,Male,44.6,2017,MANHATTAN
10023,Female,55.4,2017,MANHATTAN
10023,White,81.8,2017,MANHATTAN
