BOROUGH,Zip Code,MonthYear,Evictions
BRONX,10462,2019-09,14
BRONX,10462,2019-10,27
BRONX,10462,2019-11,12
BRONX,10462,2019-12,25
BRONX,10463,2017-01,25
BRONX,10463,2017-02,15
BRONX,10463,2017-03,18
BRONX,10463,2017-04,17
BRONX,10463,2017-05,22
BRONX,10463,2017-06,13
BRONX,10463,2017-07,17
BRONX,10463,2017-08,11
BRONX,10463,2017-09,23
BRONX,10463,2017-10,24
BRONX,10463,2017-11,13
BRONX,10463,2017-12,7
BRONX,10463,2018-01,20
BRONX,10463,2018-02,23
BRONX,10463,2018-03,17
BRONX,10463,2018-04,16
BRONX,10463,2018-05,25
BRONX,10463,2018-06,19
BRONX,10463,2018-07,11
BRONX,10463,2018-08,15
BRONX,10463,2018-09,12
BRONX,10463,2018-10,12
BRONX,10463,2018-11,16
BRONX,10463,2018-12,9
BRONX,10463,2019-01,20
BRONX,10463,2019-02,25
BRONX,10463,2019-03,21
BRONX,10463,2019-04,20
BRONX,10463,2019-05,19
BRONX,10463,2019-06,7
BRONX,10463,2019-07,16
BRONX,10463,2019-08,10
BRONX,10463,2019-09,11
BRONX,10463,2019-10,10
BRONX,10463,2019-11,11
BRONX,10463,2019-12,15
BRONX,10464,2017-03,4
BRONX,10464,2017-05,1
BRONX,10464,2017-06,1
BRONX,10464,2017-10,2
BRONX,10464,2017-11,2
BRONX,10464,2017-12,2
BRONX,10464,2018-02,2
BRONX,10464,2018-03,1
BRONX,10464,2018-04,1
BRONX,10464,2018-05,2
BRONX,10464,2018-09,1
BRONX,10464,2019-04,1
BRONX,10464,2019-07,1
BRONX,10464,2019-08,1
BRONX,10464,2019-09,1
BRONX,10464,2019-10,1
BRONX,10465,2017-01,2
BRONX,10465,2017-02,3
BRONX,10465,2017-03,8
BRONX,10465,2017-04,4
BRONX,10465,2017-05,7
BRONX,10465,2017-06,9
BRONX,10465,2017-07,1
BRONX,10465,2017-08,2
BRONX,10465,2017-09,5
BRONX,10465,2017-10,6
BRONX,10465,2017-11,1
BRONX,10465,2017-12,3
BRONX,10465,2018-01,3
BRONX,10465,2018-02,3
BRONX,10465,2018-03,6
BRONX,10465,2018-04,2
BRONX,10465,2018-05,2
BRONX,10465,2018-07,5
BRONX,10465,2018-08,3
BRONX,10465,2018-09,2
BRONX,10465,2018-10,2
BRONX,10465,2018-11,2
BRONX,10465,2018-12,3
BRONX,10465,2019-01,5
BRONX,10465,2019-02,6
BRONX,10465,2019-03,4
BRONX,10465,2019-04,9
BRONX,10465,2019-05,4
BRONX,10465,2019-06,5
BRONX,10465,2019-07,3
BRONX,10465,2019-08,4
BRONX,10465,2019-09,3
BRONX,10465,2019-10,9
BRONX,10465,2019-11,4
BRONX,10466,2017-01,27
BRONX,10466,2017-02,32
BRONX,10466,2017-03,32
BRONX,10466,2017-04,30
BRONX,10466,2017-05,32
BRONX,10466,2017-06,31
BRONX,10466,2017-07,37
BRONX,10466,2017-08,26
BRONX,10466,2017-09,30
BRONX,10466,2017-10,21
BRONX,10466,2017-11,39
BRONX,10466,2017-12,25
BRONX,10466,2018-01,49
BRONX,10466,2018-02,32
BRONX,10466,2018-03,24
BRONX,10466,2018-04,28
BRONX,10466,2018-05,43
BRONX,10466,2018-06,33
BRONX,10466,2018-07,22
BRONX,10466,2018-08,36
BRONX,10466,2018-09,27
